CODGEO;LIBGEO;Abstention;La France Insoumise;Parti Communiste;PS - Place Publique;Les Écologistes;Renaissance;Les Républicains;Reconquête;Rassemblement National;Parti Animaliste;Divers
01262;Montluel;2090;357;50;301;124;285;164;134;793;55;173
01263;Montmerle-sur-Saône;1335;65;27;175;74;285;120;103;640;18;92
01264;Montracol;306;23;8;55;14;32;45;30;205;14;44
01265;Montréal-la-Cluse;1169;118;9;77;37;98;69;70;367;22;83
01266;Montrevel-en-Bresse;913;30;17;130;41;163;63;78;425;17;72
01267;Nurieux-Volognat;321;27;4;28;8;47;34;28;194;13;37
01268;Murs-et-Gélignieux;70;2;2;7;5;21;8;12;52;1;11
01269;Nantua;914;111;14;49;19;95;47;46;261;12;73
01272;Neuville-les-Dames;502;12;10;77;17;83;56;30;261;8;39
01273;Neuville-sur-Ain;592;34;19;75;19;74;43;57;317;17;54
01274;Les Neyrolles;185;17;3;10;4;19;6;8;81;2;10
01275;Neyron;843;69;12;140;70;201;107;90;320;20;82
01276;Niévroz;574;45;8;81;19;86;48;46;300;14;40
01277;Nivollet-Montgriffon;49;2;3;6;3;11;3;2;31;0;7
01279;Oncieu;30;2;1;5;7;3;3;2;17;1;8
01280;Ordonnaz;55;1;4;7;0;8;9;5;38;7;4
01281;Ornex;1098;149;15;152;93;244;94;59;185;29;98
01282;Outriaz;74;4;3;8;6;15;12;6;39;1;12
01283;Oyonnax;7426;775;82;326;142;539;316;276;1599;88;293
01284;Ozan;239;12;9;33;9;29;14;11;153;4;22
01285;Parcieux;382;35;8;103;41;125;55;34;178;7;41
01286;Parves et Nattages;263;41;26;115;32;59;23;25;133;14;46
01288;Péron;809;61;1;113;62;134;53;39;202;16;83
01289;Péronnas;2277;170;52;332;117;384;224;154;757;34;188
01290;Pérouges;409;48;4;68;33;106;51;39;259;10;30
01291;Perrex;214;9;1;34;17;60;33;20;164;7;31
01293;Peyriat;42;8;0;15;9;12;6;5;36;2;12
01294;Peyrieu;245;16;17;38;22;52;21;7;155;3;25
01295;Peyzieux-sur-Saône;183;8;6;20;8;36;14;26;104;2;24
01296;Pirajoux;168;5;2;10;4;9;5;13;72;2;18
01297;Pizay;303;23;9;35;22;43;29;32;168;5;38
01298;Plagne;37;2;3;12;2;10;1;3;34;2;7
01299;Le Plantay;153;5;5;12;12;31;28;10;108;3;22
01301;Polliat;884;54;18;135;40;198;110;73;495;20;86
01302;Pollieu;42;6;2;14;9;13;6;9;31;3;8
01303;Poncin;561;60;11;59;20;77;57;59;308;9;49
01304;Pont-d'Ain;1029;84;13;105;32;84;66;76;397;23;85
01305;Pont-de-Vaux;761;43;22;94;38;147;61;35;232;8;40
01306;Pont-de-Veyle;504;35;7;62;20;62;22;20;201;6;36
01307;Port;267;34;1;21;15;48;42;22;120;3;17
01308;Pougny;285;21;10;30;9;24;8;14;36;4;29
01309;Pouillat;24;1;0;5;2;6;0;2;20;2;8
01310;Prémeyzel;53;10;0;9;3;8;2;4;26;0;9
01311;Prémillieu;12;1;0;3;4;2;3;1;18;0;8
01313;Prévessin-Moëns;2201;227;13;343;216;600;188;155;328;39;175
01314;Priay;527;36;11;79;37;69;47;38;305;16;60
01317;Ramasse;88;2;2;21;9;21;6;10;57;6;30
01318;Rancé;218;22;8;40;12;40;28;24;159;6;16
01319;Relevant;136;7;2;17;8;27;14;10;106;10;14
01320;Replonges;1298;101;33;122;48;278;160;93;628;31;101
01321;Revonnas;267;41;13;83;28;57;30;22;135;8;35
01322;Reyrieux;1499;132;31;294;133;399;240;140;761;44;142
01323;Reyssouze;351;11;6;30;12;62;29;20;181;8;22
01325;Rignieux-le-Franc;317;27;7;51;24;84;31;25;230;9;43
01328;Romans;158;8;2;20;11;42;19;15;107;6;19
01329;Rossillon;67;4;3;14;2;8;1;2;30;2;11
01330;Ruffieu;42;10;0;31;10;24;5;2;25;0;7
01331;Saint-Alban;49;1;0;15;7;14;5;4;29;2;14
01332;Saint-André-de-Bâgé;271;7;5;51;13;43;32;22;147;9;26
01333;Saint-André-de-Corcy;1162;102;31;170;64;209;124;89;601;39;107
01334;Saint-André-d'Huiriat;205;8;4;24;6;26;12;16;125;3;18
01335;Saint-André-le-Bouchoux;119;3;1;22;9;10;22;5;69;2;16
