CODGEO;LIBGEO;Abstention;LO;PCF;LFI;Génération.s;PS - Place Publique;EELV;Renaissance;UDI;LR;Debout la France;RN;Patriotes, Jaunes, Citoyens;UPR;Alliance Jaune;Divers
59536;Sainte-Marie-Cappel;254;2;3;20;6;27;71;102;26;30;20;94;1;4;1;23
59537;Saint-Martin-sur-Ecaillon;190;1;10;20;7;9;30;33;3;14;7;53;3;0;0;16
59538;Saint-Momelin;117;3;2;15;5;8;15;15;4;23;11;62;3;1;0;8
59539;Saint-Pierre-Brouck;331;0;5;24;20;18;36;81;15;23;24;134;4;7;1;9
59541;Saint-Python;327;1;10;59;7;20;19;49;6;15;10;165;2;3;5;9
59542;Saint-Remy-Chaussée;198;2;4;13;1;4;18;17;5;11;11;70;2;1;2;10
59543;Saint-Remy-du-Nord;392;7;9;22;9;9;30;74;14;23;13;210;4;5;0;15
59544;Saint-Saulve;4055;51;85;223;95;147;461;884;142;315;130;1203;23;46;36;217
59545;Saint-Souplet;466;4;9;26;7;17;19;49;16;26;36;220;2;0;4;13
59546;Saint-Sylvestre-Cappel;347;8;11;28;14;34;67;107;18;51;26;169;7;5;7;14
59547;Saint-Vaast-en-Cambrésis;256;1;31;38;2;9;23;29;10;17;18;150;1;2;0;21
59548;Saint-Waast;205;0;6;10;4;16;25;42;6;10;19;101;7;1;1;8
59549;Salesches;128;1;9;14;5;5;7;14;3;3;7;37;1;7;4;5
59550;Salomé;1036;6;46;106;23;55;136;142;21;32;46;427;7;10;6;66
59551;Saméon;564;2;11;32;16;34;106;158;23;59;26;151;5;7;0;29
59552;Sancourt;51;0;1;10;2;3;4;6;2;7;2;46;1;0;0;5
59553;Santes;1961;15;38;125;59;150;390;662;64;184;83;594;19;28;10;190
59554;Sars-et-Rosières;194;1;3;12;5;5;37;59;21;18;5;61;1;3;1;17
59555;Sars-Poteries;538;5;15;35;5;11;30;67;10;30;9;171;4;5;6;11
59556;Sassegnies;113;2;1;7;1;1;13;13;0;5;3;48;0;1;0;7
59557;Saultain;825;4;38;68;14;41;88;155;41;45;42;224;7;9;8;90
59558;Saulzoir;653;7;38;55;20;33;57;97;17;44;37;241;9;1;2;28
59559;Sebourg;710;8;21;34;8;31;99;196;62;71;35;221;2;6;3;39
59560;Seclin;4056;37;219;340;172;221;530;768;91;265;122;1198;25;39;27;292
59562;Sémeries;173;4;8;14;5;7;16;40;7;15;13;84;4;3;2;14
59563;Semousies;69;1;1;4;1;3;3;23;3;17;7;44;0;0;0;3
59564;La Sentinelle;1070;15;43;107;26;42;52;104;34;25;29;411;12;11;4;45
59565;Sepmeries;195;2;12;5;3;12;36;46;12;36;6;91;2;4;2;14
59566;Sequedin;1381;8;20;75;30;111;180;398;63;120;63;440;18;10;11;101
59567;Séranvillers-Forenville;118;2;1;9;3;5;16;24;9;9;16;63;3;0;4;10
59568;Sercus;113;2;0;11;2;4;36;41;7;27;16;45;1;0;3;9
59569;Sin-le-Noble;5880;74;243;433;150;181;349;582;91;182;126;1804;68;52;46;281
59570;Socx;288;3;3;19;7;20;66;140;18;56;24;105;1;0;2;31
59571;Solesmes;1689;13;28;160;17;49;71;207;40;82;43;686;17;10;8;65
59572;Solre-le-Château;661;5;7;49;18;34;64;131;11;46;24;223;8;10;3;43
59573;Solrinnes;50;1;0;3;0;2;5;13;1;5;1;17;0;0;1;5
59574;Somain;4211;60;318;406;99;200;324;380;68;110;124;1749;63;52;59;268
59575;Sommaing;115;3;7;14;9;14;16;38;8;17;8;58;0;4;0;11
59576;Spycker;487;4;15;62;16;23;78;110;24;37;42;327;4;7;7;35
59577;Staple;202;2;6;17;2;7;21;72;5;18;21;93;3;2;1;9
59578;Steenbecque;511;9;10;54;21;41;80;175;27;52;32;200;6;6;6;24
59579;Steene;467;7;5;37;8;25;54;99;12;37;40;177;11;14;5;24
59580;Steenvoorde;1312;17;16;76;49;71;227;409;72;163;81;538;16;25;14;50
59581;Steenwerck;1186;8;32;73;38;68;231;306;55;112;64;398;15;5;13;89
59582;Strazeele;256;0;0;29;8;13;44;70;17;22;21;106;6;4;2;16
59583;Taisnières-en-Thiérache;143;2;5;8;4;7;27;29;4;14;15;85;5;5;0;12
59584;Taisnières-sur-Hon;282;4;4;16;7;9;24;54;6;40;20;131;2;0;2;23
59585;Templemars;1223;9;21;76;42;97;229;321;51;95;31;292;6;9;1;89
59586;Templeuve-en-Pévèle;2220;17;50;136;64;131;503;655;111;223;92;556;15;17;6;129
59587;Terdeghem;168;1;4;13;6;21;35;72;10;19;21;62;2;2;0;6
59588;Téteghem-Coudekerque-Village;2958;37;42;192;74;150;531;902;130;312;171;972;32;47;18;160
59589;Thiant;994;20;70;94;16;30;64;112;12;24;36;474;8;6;4;54
59590;Thiennes;266;1;5;33;8;23;25;55;10;30;15;123;9;2;5;14
59591;Thivencelle;289;1;3;16;2;6;15;40;22;10;7;151;4;1;3;19
59592;Thumeries;1477;16;18;67;32;78;178;263;38;128;59;543;12;20;8;88
59593;Thun-l'Evêque;244;3;10;9;8;11;30;38;7;18;19;117;4;4;4;8
59594;Thun-Saint-Amand;404;5;21;23;9;16;35;82;13;10;18;108;2;7;5;16
59595;Thun-Saint-Martin;140;1;5;13;2;12;28;51;7;21;10;69;4;3;3;10
59596;Tilloy-lez-Marchiennes;190;0;4;8;3;11;32;62;5;19;10;59;2;3;1;8
59597;Tilloy-lez-Cambrai;177;2;5;13;6;6;34;81;14;26;17;101;0;2;0;11
59598;Toufflers;1689;8;21;95;36;67;226;312;49;123;61;471;20;14;4;86
59599;Tourcoing;41561;213;382;2359;808;1115;2621;3954;413;1144;591;5594;257;369;154;1323
59600;Tourmignies;248;4;3;18;10;20;68;90;16;32;18;69;1;1;1;25
59601;Trélon;1032;12;13;50;31;28;55;91;18;37;31;370;12;11;7;46
59602;Tressin;484;4;20;30;18;32;111;189;26;63;22;82;3;13;0;17
59603;Trith-Saint-Léger;2576;16;263;247;34;62;156;205;34;55;44;1015;31;22;16;124
59604;Troisvilles;236;3;12;21;6;11;22;41;13;15;9;126;1;3;1;9
59605;Uxem;452;9;8;32;17;28;97;102;22;43;28;147;10;4;2;35
