CODGEO;LIBGEO;Abstention;Extrême-Gauche;NFP;Divers Gauche;Ensemble;Divers Centre;LR;RN;Reconquête;Divers
24500;Saint-Sauveur-Lalande;28;0.0;22.0;0.0;11.0;0.0;7.0;62.0;1.0;0.0
24501;Saint-Seurin-de-Prats;109;6.0;60.0;0.0;51.0;0.0;11.0;138.0;0.0;0.0
24502;Saint-Séverin-d'Estissac;7;1.0;14.0;0.0;16.0;0.0;5.0;25.0;0.0;0.0
24504;Saint-Sulpice-de-Roumagnac;34;4.0;37.0;0.0;40.0;0.0;16.0;48.0;0.0;0.0
24505;Saint-Sulpice-d'Excideuil;62;5.0;64.0;0.0;64.0;0.0;18.0;54.0;0.0;0.0
24507;Sainte-Trie;16;2.0;13.0;0.0;22.0;0.0;3.0;36.0;0.0;0.0
24508;Saint-Victor;24;2.0;86.0;0.0;23.0;0.0;2.0;48.0;0.0;0.0
24509;Saint-Vincent-de-Connezac;154;4.0;89.0;0.0;55.0;0.0;8.0;152.0;0.0;0.0
24510;Saint-Vincent-de-Cosse;100;5.0;82.0;0.0;8.0;53.0;11.0;64.0;5.0;0.0
24511;Saint-Vincent-Jalmoutiers;61;0.0;29.0;0.0;32.0;0.0;10.0;62.0;0.0;0.0
24512;Saint-Vincent-le-Paluel;63;0.0;41.0;0.0;0.0;35.0;19.0;88.0;5.0;0.0
24513;Saint-Vincent-sur-l'Isle;57;2.0;51.0;0.0;41.0;0.0;11.0;74.0;0.0;0.0
24514;Saint-Vivien;66;4.0;39.0;0.0;20.0;0.0;14.0;69.0;0.0;0.0
24515;Salagnac;128;7.0;73.0;0.0;50.0;0.0;18.0;74.0;0.0;0.0
24516;Salignac-Eyvigues;253;6.0;205.0;0.0;42.0;113.0;52.0;248.0;16.0;0.0
24517;Salles-de-Belvès;16;0.0;18.0;0.0;0.0;3.0;5.0;24.0;0.0;0.0
24518;Salon;42;2.0;37.0;0.0;0.0;29.0;15.0;55.0;4.0;0.0
24519;Sarlande;84;8.0;65.0;0.0;52.0;0.0;12.0;101.0;0.0;0.0
24520;Sarlat-la-Canéda;2176;40.0;1525.0;0.0;175.0;925.0;318.0;1461.0;50.0;0.0
24521;Sarliac-sur-l'Isle;172;11.0;138.0;0.0;114.0;0.0;35.0;257.0;0.0;0.0
24522;Sarrazac;77;1.0;45.0;0.0;60.0;0.0;20.0;100.0;0.0;0.0
24523;Saussignac;60;3.0;65.0;0.0;68.0;0.0;15.0;86.0;0.0;0.0
24524;Savignac-de-Miremont;40;0.0;28.0;0.0;0.0;11.0;7.0;37.0;0.0;0.0
24525;Savignac-de-Nontron;31;2.0;30.0;0.0;23.0;0.0;7.0;60.0;0.0;0.0
