CODGEO;LIBGEO;Abstention;Extrême-Gauche;NUPES;Divers Gauche;Ensemble;Divers Droite;Droite souverainiste;LR;RN;Reconquête;Divers
28423;Yermenonville;196.0;1.0;59.0;3.0;105.0;8.0;6.0;28.0;45.0;9.0;0.0
28425;Ymeray;290.0;4.0;42.0;0.0;52.0;8.0;2.0;28.0;67.0;12.0;0.0
28001;Abondant;808.0;6.0;135.0;20.0;162.0;0.0;15.0;243.0;154.0;22.0;0.0
28003;Allainville;59.0;0.0;9.0;0.0;10.0;0.0;0.0;16.0;18.0;0.0;0.0
28007;Anet;1040.0;5.0;111.0;19.0;94.0;0.0;8.0;552.0;225.0;16.0;0.0
28008;Ardelles;66.0;0.0;6.0;0.0;11.0;0.0;1.0;18.0;24.0;1.0;0.0
28014;Aunay-sous-Crécy;251.0;1.0;38.0;0.0;27.0;0.0;1.0;67.0;63.0;8.0;0.0
28030;Beauche;111.0;1.0;14.0;2.0;19.0;0.0;1.0;22.0;47.0;8.0;0.0
28036;Berchères-sur-Vesgre;284.0;2.0;56.0;9.0;79.0;0.0;4.0;119.0;59.0;19.0;0.0
28037;Bérou-la-Mulotière;130.0;1.0;19.0;4.0;29.0;0.0;4.0;23.0;43.0;1.0;0.0
28045;Boissy-en-Drouais;74.0;0.0;12.0;3.0;18.0;0.0;0.0;32.0;32.0;7.0;0.0
28046;Boissy-lès-Perche;151.0;0.0;31.0;7.0;30.0;0.0;2.0;88.0;39.0;4.0;0.0
28050;Boncourt;87.0;2.0;22.0;5.0;16.0;0.0;1.0;46.0;22.0;4.0;0.0
28053;Le Boullay-les-Deux-Eglises;86.0;0.0;9.0;4.0;11.0;0.0;1.0;35.0;36.0;6.0;0.0
28059;Brezolles;621.0;2.0;53.0;5.0;49.0;0.0;5.0;177.0;144.0;6.0;0.0
28062;Broué;371.0;2.0;59.0;6.0;45.0;0.0;1.0;111.0;69.0;9.0;0.0
28064;Bû;866.0;1.0;121.0;23.0;120.0;0.0;8.0;228.0;156.0;22.0;0.0
28076;La Chapelle-Forainvilliers;81.0;0.0;7.0;1.0;3.0;0.0;0.0;37.0;23.0;2.0;0.0
28077;La Chapelle-Fortin;73.0;0.0;5.0;1.0;13.0;0.0;1.0;30.0;12.0;9.0;0.0
28082;Charpont;154.0;2.0;45.0;14.0;54.0;0.0;5.0;78.0;61.0;8.0;0.0
28087;Châtaincourt;98.0;0.0;12.0;0.0;9.0;0.0;0.0;42.0;16.0;2.0;0.0
28089;Châteauneuf-en-Thymerais;924.0;6.0;105.0;12.0;107.0;0.0;8.0;218.0;229.0;18.0;0.0
28090;Les Châtelets;38.0;0.0;7.0;3.0;13.0;0.0;1.0;21.0;16.0;2.0;0.0
28096;La Chaussée-d'Ivry;538.0;6.0;51.0;9.0;46.0;0.0;4.0;158.0;111.0;10.0;0.0
28098;Cherisy;655.0;3.0;126.0;21.0;121.0;0.0;7.0;179.0;133.0;19.0;0.0
28117;Crécy-Couvé;68.0;0.0;24.0;3.0;17.0;0.0;0.0;31.0;30.0;3.0;0.0
28120;Crucey-Villages;200.0;3.0;16.0;6.0;31.0;0.0;5.0;89.0;51.0;7.0;0.0
28124;Dampierre-sur-Avre;304.0;0.0;26.0;6.0;32.0;0.0;7.0;75.0;82.0;10.0;0.0
28130;Digny;379.0;4.0;50.0;5.0;50.0;0.0;5.0;117.0;111.0;11.0;0.0
28134;Dreux;11621.0;42.0;1616.0;130.0;1008.0;0.0;51.0;1299.0;935.0;130.0;0.0
28136;Ecluzelles;69.0;0.0;14.0;3.0;19.0;0.0;3.0;22.0;13.0;0.0;0.0
28143;Escorpain;91.0;0.0;7.0;0.0;12.0;0.0;0.0;36.0;31.0;6.0;0.0
28147;Favières;223.0;3.0;32.0;5.0;31.0;0.0;1.0;66.0;62.0;8.0;0.0
28149;La Ferté-Vidame;276.0;0.0;26.0;4.0;41.0;0.0;4.0;92.0;56.0;6.0;0.0
28151;Fessanvilliers-Mattanvilliers;60.0;0.0;8.0;1.0;2.0;0.0;0.0;28.0;16.0;5.0;0.0
28155;Fontaine-les-Ribouts;90.0;1.0;8.0;1.0;7.0;0.0;2.0;25.0;35.0;5.0;0.0
28159;La Framboisière;130.0;1.0;13.0;4.0;18.0;0.0;0.0;41.0;53.0;2.0;0.0
28170;Garancières-en-Drouais;107.0;1.0;15.0;7.0;29.0;0.0;2.0;30.0;18.0;3.0;0.0
28171;Garnay;345.0;1.0;60.0;9.0;69.0;0.0;5.0;114.0;77.0;8.0;0.0
28178;Germainville;112.0;0.0;11.0;5.0;33.0;0.0;4.0;46.0;39.0;7.0;0.0
28180;Gilles;218.0;4.0;30.0;7.0;27.0;0.0;2.0;75.0;36.0;7.0;0.0
28185;Goussainville;505.0;5.0;91.0;19.0;85.0;0.0;9.0;91.0;104.0;15.0;0.0
28187;Guainville;191.0;0.0;40.0;12.0;58.0;0.0;5.0;64.0;77.0;11.0;0.0
28193;Havelu;47.0;0.0;18.0;1.0;22.0;0.0;0.0;23.0;11.0;3.0;0.0
28200;Jaudrais;156.0;0.0;12.0;4.0;15.0;0.0;4.0;26.0;66.0;7.0;0.0
28202;Lamblore;132.0;1.0;11.0;1.0;16.0;0.0;1.0;47.0;43.0;6.0;0.0
28206;Laons;247.0;2.0;34.0;8.0;31.0;0.0;2.0;63.0;83.0;10.0;0.0
28216;Louvilliers-en-Drouais;66.0;0.0;16.0;4.0;17.0;0.0;0.0;25.0;22.0;4.0;0.0
