CODGEO;LIBGEO;Abstention;Arthaud;Roussel;Macron;Lassalle;Le Pen;Zemmour;Mélenchon;Hidalgo;Jadot;Pécresse;Poutou;Dupont-Aignan
02453;Maizy;52;0;6;54;3;104;8;30;3;3;2;2;7
02454;La Malmaison;67;1;8;51;7;106;17;29;3;2;12;3;6
02455;Malzy;34;3;2;26;9;51;7;11;1;2;3;0;3
02456;Manicamp;69;0;4;35;11;96;16;32;0;3;7;4;10
02457;Marchais;70;0;3;40;5;118;14;33;0;10;4;1;7
02458;Dhuys et Morin-en-Brie;122;0;7;100;19;159;44;55;1;5;37;2;13
02459;Marcy;23;0;4;47;3;36;9;7;1;2;10;0;2
02460;Marcy-sous-Marle;39;1;6;22;4;67;5;18;3;3;1;2;2
02461;Marest-Dampcourt;63;3;2;41;8;92;14;20;1;4;10;4;8
02462;Mareuil-en-Dôle;42;2;4;14;5;62;6;16;1;3;5;2;7
02463;Marfontaine;5;0;1;9;0;16;6;12;0;0;1;0;3
02464;Margival;52;2;5;35;2;76;16;24;4;1;9;4;4
02465;Marigny-en-Orxois;63;1;5;55;6;93;25;46;2;9;15;2;4
