CODGEO;LIBGEO;Abstention;Extrême-Gauche;LFI;PCF;PS;EELV;Divers Gauche;LREM;LR;Divers Droite;Debout la France;FN;Divers
70540;Velloreille-lès-Choye;23.0;0.0;4.0;0.0;0.0;0.0;0.0;11.0;0.0;14.0;0.0;6.0;0.0
70542;Venère;90.0;0.0;1.0;0.0;1.0;2.0;0.0;13.0;13.0;7.0;0.0;17.0;1.0
70545;Venisey;58.0;0.0;11.0;0.0;0.0;0.0;0.0;14.0;12.0;13.0;0.0;18.0;0.0
70546;Vereux;88.0;1.0;6.0;2.0;3.0;2.0;0.0;20.0;9.0;17.0;2.0;21.0;0.0
70548;Vernois-sur-Mance;75.0;0.0;8.0;1.0;3.0;2.0;0.0;18.0;4.0;17.0;0.0;20.0;0.0
70549;La Vernotte;34.0;0.0;8.0;2.0;2.0;0.0;0.0;6.0;1.0;3.0;1.0;11.0;0.0
70550;Vesoul;4760.0;24.0;466.0;76.0;253.0;40.0;0.0;1191.0;461.0;1050.0;63.0;618.0;26.0
70554;Villars-le-Pautel;50.0;0.0;12.0;1.0;2.0;1.0;0.0;10.0;3.0;12.0;1.0;45.0;0.0
70557;Villefrancon;46.0;1.0;7.0;0.0;1.0;0.0;0.0;13.0;1.0;29.0;0.0;19.0;0.0
70558;La Villeneuve-Bellenoye-et-la-Maize;53.0;1.0;5.0;0.0;1.0;0.0;0.0;21.0;5.0;20.0;0.0;19.0;1.0
70559;Villeparois;82.0;0.0;10.0;1.0;16.0;0.0;0.0;21.0;5.0;14.0;3.0;23.0;0.0
70560;Villers-Bouton;58.0;0.0;6.0;2.0;2.0;0.0;0.0;27.0;3.0;13.0;0.0;20.0;0.0
70566;Villers-sur-Port;83.0;0.0;4.0;0.0;5.0;1.0;0.0;28.0;11.0;9.0;0.0;19.0;1.0
70568;Villers-Vaudey;24.0;0.0;2.0;0.0;0.0;0.0;0.0;5.0;13.0;4.0;3.0;2.0;0.0
70569;Vilory;20.0;0.0;3.0;1.0;4.0;0.0;0.0;7.0;3.0;7.0;1.0;12.0;0.0
70572;Vitrey-sur-Mance;84.0;2.0;9.0;1.0;5.0;2.0;0.0;37.0;23.0;24.0;2.0;20.0;1.0
70574;Volon;18.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;16.0;2.0;0.0;2.0;22.0
70575;Voray-sur-l'Ognon;285.0;2.0;30.0;1.0;24.0;6.0;0.0;116.0;37.0;39.0;2.0;50.0;6.0
70576;Vougécourt;78.0;2.0;8.0;1.0;3.0;0.0;0.0;20.0;1.0;14.0;0.0;16.0;3.0
70578;Vregille;69.0;1.0;9.0;0.0;3.0;1.0;0.0;29.0;5.0;15.0;1.0;18.0;1.0
70580;Vy-le-Ferroux;45.0;0.0;6.0;1.0;14.0;0.0;0.0;12.0;3.0;10.0;2.0;26.0;0.0
70582;Vy-lès-Rupt;43.0;1.0;2.0;0.0;0.0;0.0;0.0;6.0;12.0;3.0;0.0;10.0;0.0
70001;Abelcourt;140.0;1.0;13.0;0.0;0.0;3.0;0.0;39.0;20.0;1.0;2.0;31.0;0.0
70004;Adelans-et-le-Val-de-Bithaine;110.0;0.0;24.0;1.0;0.0;3.0;0.0;22.0;20.0;5.0;2.0;37.0;0.0
70005;Aillevans;32.0;2.0;9.0;0.0;0.0;0.0;0.0;18.0;19.0;2.0;1.0;8.0;0.0
70006;Aillevillers-et-Lyaumont;523.0;3.0;77.0;9.0;0.0;7.0;0.0;170.0;66.0;23.0;8.0;147.0;0.0
